,1,2,3,4,5
571,,1228.1,1458.1,1248.1,
572,,1218.3,1458.1,1257.9,
573,,1208.4,1458.1,1267.8,
574,,1198.6,1458.1,1277.7,
575,,1188.7,1458.1,1287.5,
576,,1178.9,1458.1,1297.4,
577,,1169,1458.1,1307.2,
578,,1159.2,1458.1,1317.1,
579,,1149.3,1458.1,1326.9,
580,,1139.5,1458.1,1336.8,
581,,1129.6,1458.1,1346.6,
582,,1119.8,1458.1,1356.5,
583,,1109.9,1458.1,1366.3,
584,,1100,1458.1,1376.2,
585,,1090.2,1458.1,1386,
586,,1080.3,1458.1,1395.9,
587,,1070.5,1458.1,1405.7,
588,,1060.6,1458.1,1415.6,
589,,1050.8,1458.1,1425.4,
590,,1040.9,1458.1,1435.3,
591,,1031.1,1458.1,1445.1,
592,,1021.2,1458.1,1455,
593,,1011.4,1458.1,1458.1,6.8
594,,1001.5,1458.1,1458.1,16.6
595,,991.7,1458.1,1458.1,26.5
596,,981.8,1458.1,1458.1,36.3
597,,972,1458.1,1458.1,46.2
598,,962.1,1458.1,1458.1,56
599,,952.3,1458.1,1458.1,65.9
600,,942.4,1458.1,1458.1,75.7
601,,932.6,1458.1,1458.1,85.6
602,,922.7,1458.1,1458.1,95.4
603,,912.9,1458.1,1458.1,105.3
604,,903,1458.1,1458.1,115.1
605,,893.2,1458.1,1458.1,125
606,,883.3,1458.1,1458.1,134.8
607,,873.5,1458.1,1458.1,144.7
608,,863.6,1458.1,1458.1,154.5
609,,853.8,1458.1,1458.1,164.4
610,,843.9,1458.1,1458.1,174.2
611,,834,1458.1,1458.1,184.1
612,,824.2,1458.1,1458.1,193.9
613,,814.3,1458.1,1458.1,203.8
614,,804.5,1458.1,1458.1,213.6
615,,794.6,1458.1,1458.1,223.5
616,,784.8,1458.1,1458.1,233.3
617,,774.9,1458.1,1458.1,243.2
618,,765.1,1458.1,1458.1,253
619,,755.2,1458.1,1458.1,262.9
620,,745.4,1458.1,1458.1,272.7
621,,735.5,1458.1,1458.1,282.6
622,,725.7,1458.1,1458.1,292.5
623,,715.8,1458.1,1458.1,302.3
624,,706,1458.1,1458.1,312.2
625,,696.1,1458.1,1458.1,322
626,,686.3,1458.1,1458.1,331.9
627,,676.4,1458.1,1458.1,341.7
628,,666.6,1458.1,1458.1,351.6
629,,656.7,1458.1,1458.1,361.4
630,,646.9,1458.1,1458.1,371.3
631,,637,1458.1,1458.1,381.1
632,,627.2,1458.1,1458.1,391
633,,617.3,1458.1,1458.1,400.8
634,,607.5,1458.1,1458.1,410.7
635,,597.6,1458.1,1458.1,420.5
636,,587.7,1458.1,1458.1,430.4
637,,577.9,1458.1,1458.1,440.2
638,,568,1458.1,1458.1,450.1
639,,558.2,1458.1,1458.1,459.9
640,,548.3,1458.1,1458.1,469.8
641,,538.5,1458.1,1458.1,479.6
642,,528.6,1458.1,1458.1,489.5
643,,518.8,1458.1,1458.1,499.3
644,,508.9,1458.1,1458.1,509.2
645,,499.1,1458.1,1458.1,519
646,,489.2,1458.1,1458.1,528.9
647,,479.4,1458.1,1458.1,538.8
648,,469.5,1458.1,1458.1,548.6
649,,459.7,1458.1,1458.1,558.5
650,,449.8,1458.1,1458.1,568.3
651,,440,1458.1,1458.1,578.2
652,,430.1,1458.1,1458.1,588
653,,420.3,1458.1,1458.1,597.9
654,,410.4,1458.1,1458.1,607.7
655,,400.6,1458.1,1458.1,617.6
656,,390.7,1458.1,1458.1,627.4
657,,380.9,1458.1,1458.1,637.3
658,,371,1458.1,1458.1,647.1
659,,361.2,1458.1,1458.1,657
660,,351.3,1458.1,1458.1,666.8
661,,341.5,1458.1,1458.1,676.7
662,,331.6,1458.1,1458.1,686.5
663,,321.8,1458.1,1458.1,696.4
664,,311.9,1458.1,1458.1,706.2
665,,302.1,1458.1,1458.1,716.1
666,,292.2,1458.1,1458.1,725.9
667,,282.3,1458.1,1458.1,735.8
668,,272.5,1458.1,1458.1,745.6
669,,262.6,1458.1,1458.1,755.5
670,,252.8,1458.1,1458.1,765.3
671,,242.9,1458.1,1458.1,775.2
672,,233.1,1458.1,1458.1,785.1
673,,223.2,1458.1,1458.1,794.9
674,,213.4,1458.1,1458.1,804.8
675,,203.5,1458.1,1458.1,814.6
676,,193.7,1458.1,1458.1,824.5
677,,183.8,1458.1,1458.1,834.3
678,,174,1458.1,1458.1,844.2
679,,164.1,1458.1,1458.1,854
680,,154.3,1458.1,1458.1,863.9
681,,144.4,1458.1,1458.1,873.7
682,,134.6,1458.1,1458.1,883.6
683,,124.8,1458.1,1458.1,893.4
684,,114.9,1458.1,1458.1,903.3
685,,105.1,1458.1,1458.1,913.1
686,,95.2,1458.1,1458.1,923
687,,85.4,1458.1,1458.1,932.8
688,,75.5,1458.1,1458.1,942.7
689,,65.7,1458.1,1458.1,952.5
690,,55.9,1458.1,1458.1,962.4
691,,46,1458.1,1458.1,972.2
692,,36.2,1458.1,1458.1,982.1
693,,26.5,1458.1,1458.1,991.9
694,,16.8,1458.1,1458.1,1001.8
695,,7.5,1458.1,1458.1,1011.6
696,,,1454.7,1458.1,1021.5
697,,,1444.9,1458.1,1031.4
698,,,1435,1458.1,1041.2
699,,,1425.2,1458.1,1051.1
700,,,1415.3,1458.1,1060.9
701,,,1405.5,1458.1,1070.8
702,,,1395.6,1458.1,1080.6
703,,,1385.8,1458.1,1090.5
704,,,1375.9,1458.1,1100.3
705,,,1366.1,1458.1,1110.2
706,,,1356.2,1458.1,1120
707,,,1346.3,1458.1,1129.9
708,,,1336.5,1458.1,1139.7
709,,,1326.6,1458.1,1149.6
710,,,1316.8,1458.1,1159.4
711,,,1306.9,1458.1,1169.3
712,,,1297.1,1458.1,1179.1
713,,,1287.2,1458.1,1189
714,,,1277.4,1458.1,1198.8
715,,,1267.5,1458.1,1208.7
716,,,1257.7,1458.1,1218.5
717,,,1247.8,1458.1,1228.4
718,,,1238,1458.1,1238.2
719,,,1228.1,1458.1,1248.1
720,,,1218.3,1458.1,1257.9
721,,,1208.4,1458.1,1267.8
722,,,1198.6,1458.1,1277.7
723,,,1188.7,1458.1,1287.5
724,,,1178.9,1458.1,1297.4
725,,,1169,1458.1,1307.2
726,,,1159.2,1458.1,1317.1
727,,,1149.3,1458.1,1326.9
728,,,1139.5,1458.1,1336.8
729,,,1129.6,1458.1,1346.6
730,,,1119.8,1458.1,1356.5
731,,,1109.9,1458.1,1366.3
732,,,1100,1458.1,1376.2
733,,,1090.2,1458.1,1386
734,,,1080.3,1458.1,1395.9
735,,,1070.5,1458.1,1405.7
736,,,1060.6,1458.1,1415.6
737,,,1050.8,1458.1,1425.4
738,,,1040.9,1458.1,1435.3
739,,,1031.1,1458.1,1445.1
740,,,1021.2,1458.1,1455
741,,,1011.4,1458.1,1464.8
742,,,1001.5,1458.1,1474.7
743,,,991.7,1458.1,1484.5
744,,,981.8,1458.1,1494.4
745,,,972,1458.1,1504.2
746,,,962.1,1458.1,1514.1
747,,,952.3,1458.1,1524
748,,,942.4,1458.1,1533.8
749,,,932.6,1458.1,1543.7
750,,,922.7,1458.1,1553.5
751,,,912.9,1458.1,1563.4
752,,,903,1458.1,1566.3
753,,,899.6,1458.1,1566.3
754,,,889.8,1458.1,1566.3
755,,,879.9,1458.1,1566.3
756,,,870.1,1458.1,1566.3
757,,,860.2,1458.1,1566.3
758,,,850.4,1458.1,1566.3
759,,,840.5,1458.1,1566.3
760,,,830.7,1458.1,1566.3
761,,,820.8,1458.1,1566.3
762,,,811,1458.1,1566.3
763,,,801.1,1458.1,1566.3
764,,,791.3,1458.1,1566.3
765,,,781.4,1458.1,1566.3
766,,,771.6,1458.1,1566.3
767,,,761.7,1458.1,1566.3
768,,,751.9,1458.1,1566.3
769,,,742,1458.1,1566.3
770,,,732.2,1458.1,1566.3
771,,,722.3,1458.1,1566.3
772,,,712.5,1458.1,1566.3
773,,,702.6,1458.1,1566.3
774,,,692.8,1458.1,1566.3
775,,,682.9,1458.1,1566.3
776,,,673,1458.1,1566.3
777,,,663.2,1458.1,1566.3
778,,,653.3,1458.1,1566.3
779,,,643.5,1458.1,1566.3
780,,,633.6,1458.1,1566.3
781,,,623.8,1458.1,1566.3
782,,,613.9,1458.1,1566.3
783,,,604.1,1458.1,1566.3
784,,,594.2,1458.1,1566.3
785,,,584.4,1458.1,1566.3
786,,,574.5,1458.1,1566.3
787,,,564.7,1458.1,1566.3
788,,,554.8,1458.1,1566.3
789,,,545,1458.1,1566.3
790,,,535.1,1458.1,1566.3
791,,,525.3,1458.1,1566.3
792,,,515.4,1458.1,1566.3
793,,,505.6,1458.1,1566.3
794,,,495.7,1458.1,1566.3
795,,,485.9,1458.1,1566.3
796,,,476,1458.1,1566.3
797,,,466.2,1458.1,1566.3
798,,,456.3,1458.1,1566.3
799,,,446.5,1458.1,1566.3
800,,,436.6,1458.1,1566.3
801,,,426.7,1458.1,1566.3
802,,,416.9,1458.1,1566.3
803,,,407,1458.1,1566.3
804,,,397.2,1458.1,1566.3
805,,,387.3,1458.1,1566.3
806,,,377.5,1458.1,1566.3
807,,,367.6,1458.1,1566.3
808,,,357.8,1458.1,1566.3
809,,,347.9,1458.1,1566.3
810,,,338.1,1458.1,1566.3
811,,,328.2,1458.1,1566.3
812,,,318.4,1458.1,1566.3
813,,,308.5,1458.1,1566.3
814,,,298.7,1458.1,1566.3
815,,,288.8,1458.1,1566.3
816,,,279,1458.1,1566.3
817,,,269.1,1458.1,1566.3
818,,,259.3,1458.1,1566.3
819,,,249.4,1458.1,1566.3
820,,,239.6,1458.1,1566.3
821,,,229.7,1458.1,1566.3
822,,,219.9,1458.1,1566.3
823,,,210,1458.1,1566.3
824,,,200.2,1458.1,1566.3
825,,,190.3,1458.1,1566.3
826,,,180.4,1458.1,1566.3
827,,,170.6,1458.1,1566.3
828,,,160.7,1458.1,1566.3
829,,,150.9,1458.1,1566.3
830,,,141,1458.1,1566.3
831,,,131.2,1458.1,1566.3
832,,,121.3,1458.1,1566.3
833,,,111.5,1458.1,1566.3
834,,,101.6,1458.1,1566.3
835,,,91.8,1458.1,1566.3
836,,,81.9,1458.1,1566.3
837,,,72.1,1458.1,1566.3
838,,,62.2,1458.1,1566.3
839,,,52.4,1458.1,1566.3
