layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,B,19,6.181669356939351,True,79.20866482255693,5,0.8059621,0.0324902326548922,6300.0,282.2,X6300.0 Y282.2,"[6.222361066534564, 6.1820846124329245, 6.1427785469519165]",2.1679019927978516,2025-06-03_17-20-06
X,B,20,5.4199210240105185,True,74.1679518044562,5,0.76177865,0.0268446858324691,6300.0,286.9,X6300.0 Y286.9,"[5.415479637601715, 5.372067479486806, 5.436545109888027]",2.3573052883148193,2025-06-03_17-20-09
X,B,21,6.196699893333979,True,79.3049030580272,5,0.83932465,0.07468840290554511,6300.0,291.7,X6300.0 Y291.7,"[6.089846409487834, 6.189126296350649, 6.272566167042176]",1.7085378170013428,2025-06-03_17-20-10
X,B,22,5.905414017516409,True,77.4185409093063,5,0.840903,0.0694223140466432,6300.0,296.5,X6300.0 Y296.5,"[5.767381734133033, 5.91800196326662, 5.911049141843775]",3.3663740158081055,2025-06-03_17-20-14
X,B,23,5.961189116702084,True,77.78328070490915,5,0.8545351,0.03329141311028254,6300.0,301.3,X6300.0 Y301.3,"[6.027531096734704, 5.9567369776886645, 5.957082983413987]",2.128404140472412,2025-06-03_17-20-16
X,B,24,6.282194183972761,True,79.85010377850489,5,0.74336654,0.05646266276431979,6300.0,306.1,X6300.0 Y306.1,"[6.171377801324941, 6.2813401095946935, 6.2990044189035785]",2.0468618869781494,2025-06-03_17-20-18
X,B,25,6.0579741112004974,True,78.412177298264,5,0.86637706,0.08507533227862826,6300.0,310.9,X6300.0 Y310.9,"[6.048156716031981, 6.045878783756051, 6.227479000579157]",3.547091484069824,2025-06-03_17-20-32
X,B,26,5.929293443410395,True,77.57490972525856,5,0.7853484,0.08627750862040313,6300.0,315.7,X6300.0 Y315.7,"[6.088214591514032, 5.941985922321802, 5.882963886256586]",2.4256842136383057,2025-06-03_17-20-34
X,B,27,6.223998679485276,True,79.47939500815048,5,0.83213454,0.06969274035008337,6300.0,320.5,X6300.0 Y320.5,"[6.246177754481017, 6.087652664638733, 6.221771368527127]",3.3520236015319824,2025-06-03_17-20-37
X,B,28,6.1694468106116975,True,79.13031943182158,5,0.7981191,0.09131800483507484,6300.0,325.3,X6300.0 Y325.3,"[6.032990225342653, 6.157743145133757, 6.256155157413483]",2.8831403255462646,2025-06-03_17-20-40
X,B,29,6.173499387393631,True,79.15630466681775,5,0.84234685,0.09705420039231565,6300.0,330.1,X6300.0 Y330.1,"[6.158378138571121, 6.163804501362049, 6.366920730163983]",1.5411698818206787,2025-06-03_17-20-42
X,B,30,6.314963933294112,True,80.05809356309317,5,0.8349867,0.0045385316066940155,6300.0,334.9,X6300.0 Y334.9,"[6.315748462418788, 6.3227560493290325, 6.311778133489051]",3.879580020904541,2025-06-03_17-20-46
X,B,31,6.114807812612157,True,78.77913584967375,5,0.7913596,0.013920833223016023,6300.0,339.6,X6300.0 Y339.6,"[6.130242018531817, 6.114002476035383, 6.0961557085474976]",2.5522782802581787,2025-06-03_17-20-48
X,B,32,6.087382131421155,True,78.6022701502652,5,0.8668918,0.043684191580009406,6300.0,344.4,X6300.0 Y344.4,"[6.090889926282719, 6.171470811289736, 6.070209643010576]",2.328183174133301,2025-06-03_17-20-51
