layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,B,80,5.620260069941817,True,75.52626584462763,5,0.6754675,0.0678583145453911,6310.0,576.9,X6310.0 Y576.9,"[5.661376177231669, 5.609222287188987, 5.498619469065606]",2.600872755050659,2025-04-18_10-55-26
X,B,81,5.853216913289114,True,77.07563583726727,5,0.7200672,0.06033416726961792,6310.0,581.5,X6310.0 Y581.5,"[5.741654436406097, 5.884918031582839, 5.844712489789708]",4.248957395553589,2025-04-18_10-55-31
X,B,82,6.038854876747392,True,78.28834336345908,5,0.7235666,0.048163603127170426,6310.0,586.5,X6310.0 Y586.5,"[5.978181920547503, 6.096154904423971, 6.0379288757157425]",6.754641532897949,2025-04-18_10-55-37
X,B,83,5.530191006895962,True,74.91863784538994,5,0.70523596,0.048633320344654125,6310.0,590.2,X6310.0 Y590.2,"[5.615588185709502, 5.538420985944516, 5.498408677694467]",4.395538330078125,2025-04-18_10-55-42
X,B,84,6.101743548329829,True,78.69493518579513,5,0.732228,0.043588261532822435,6310.0,596.1,X6310.0 Y596.1,"[6.065835962441395, 6.108717583029141, 6.171956105558385]",2.416945457458496,2025-04-18_10-55-44
X,B,85,6.097049909687713,True,78.6646621462268,5,0.6843073,0.03541853450242867,6310.0,600.9,X6310.0 Y600.9,"[6.098394917095151, 6.0269099849721846, 6.105226562860927]",5.72753381729126,2025-04-18_10-55-50
X,B,86,5.494090721274964,True,74.67370846863065,5,0.73690003,0.05451916057142373,6310.0,605.7,X6310.0 Y605.7,"[5.602085186353143, 5.481206832299598, 5.492484616411438]",3.0701541900634766,2025-04-18_10-55-53
X,B,87,5.852638840450319,True,77.07182968823732,5,0.8391827,0.07495038302704919,6310.0,610.5,X6310.0 Y610.5,"[5.719311747006618, 5.899420967841069, 5.840180656853839]",2.6509346961975098,2025-04-18_10-55-56
X,B,88,5.885661393238778,True,77.28895640980154,5,0.7910935,0.05514712656286684,6310.0,615.2,X6310.0 Y615.2,"[5.978699673523269, 5.895135061716918, 5.845003593914113]",4.17382550239563,2025-04-18_10-56-00
X,B,89,6.057470307306647,True,78.40891670479743,5,0.7542543,0.09627713869723115,6310.0,620.1,X6310.0 Y620.1,"[6.045986059778597, 6.04443943846472, 6.249443009936872]",2.8596816062927246,2025-04-18_10-56-03
X,B,90,5.311600435467437,True,73.42306427805656,5,0.7597838,0.05875761980132724,6310.0,623.8,X6310.0 Y623.8,"[5.420764474401128, 5.31965225607599, 5.281504926972305]",5.717794895172119,2025-04-18_10-56-08
X,B,91,5.6142513546647335,True,75.48588184262564,5,0.7757109,0.07830292302666644,6310.0,630.1,X6310.0 Y630.1,"[5.626100471130248, 5.546983601649942, 5.737857784473589]",4.707826614379883,2025-04-18_10-56-13
X,B,92,5.677267903174297,True,75.90834118885165,5,0.7732609,0.02769821972378415,6310.0,634.4,X6310.0 Y634.4,"[5.681466881108896, 5.727942520675651, 5.6618984818750855]",2.3363473415374756,2025-04-18_10-56-15
X,B,93,5.591725624133571,True,75.3342958577583,5,0.70371777,0.0682105355150239,6310.0,639.2,X6310.0 Y639.2,"[5.727674083195752, 5.583959549522177, 5.5820154152418535]",3.302034854888916,2025-04-18_10-56-19
X,B,94,5.4540858166178205,True,74.40134561388466,5,0.72790164,0.0430188265716131,6310.0,643.7,X6310.0 Y643.7,"[5.369374724391424, 5.466144225256762, 5.45387782549101]",6.874594688415527,2025-04-18_10-56-26
