layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,f_sigma,time
V,B,396,5.636362510106271,True,1,66.50726594570989,0.81936955,1133.3,302.6,X1133.3 Y302.6,0.36044984806147956,2025-01-22_14-57-23
V,B,395,5.5726940517630155,True,1,66.1305654485592,0.77957416,1133.3,308.4,X1133.3 Y308.4,0.6879424811925369,2025-01-22_14-57-26
V,B,394,5.712525763602751,True,1,66.95510906969507,0.76205224,1133.3,314.2,X1133.3 Y314.2,0.08854337542812606,2025-01-22_14-57-29
V,B,393,5.51505654819038,True,1,65.78768750978948,0.75724775,1133.3,320.0,X1133.3 Y320.0,0.18028189788489238,2025-01-22_14-57-31
V,B,392,5.520446338382847,True,1,65.81982636821517,0.81081706,1133.3,325.8,X1133.3 Y325.8,0.04301720736968878,2025-01-22_14-57-33
V,B,391,5.634121176322575,True,1,66.49404112173394,0.73795664,1133.3,331.5,X1133.3 Y331.5,0.08610119089259578,2025-01-22_14-57-39
V,B,390,5.825478431280861,True,1,67.61381411078455,0.7870977,1133.3,337.2,X1133.3 Y337.2,0.10438303151123302,2025-01-22_14-57-41
V,B,389,5.6853769692182325,True,1,66.79581741589693,0.7476222,1133.3,342.9,X1133.3 Y342.9,0.5876647846120469,2025-01-22_14-58-02
V,B,388,5.464850531046657,True,1,65.4875555729779,0.81004447,1133.3,348.7,X1133.3 Y348.7,0.17487546752294306,2025-01-22_14-58-05
V,B,387,5.457312654021221,True,1,65.44237524476593,0.86090815,1133.3,354.4,X1133.3 Y354.4,0.1529380914929942,2025-01-22_14-58-08
V,B,386,5.637031126681181,True,1,66.51121055906697,0.78861153,1133.3,360.2,X1133.3 Y360.2,0.10481962095587895,2025-01-22_14-58-10
V,B,385,5.460128241782277,True,1,65.45925488887633,0.78001505,1133.3,366.0,X1133.3 Y366.0,0.3074085853206953,2025-01-22_14-58-18
V,B,384,5.544141542190848,True,1,65.96093309389278,0.7845396,1133.3,371.7,X1133.3 Y371.7,0.02706895456381177,2025-01-22_14-58-19
V,B,383,5.511808097848758,True,1,65.76830969265629,0.7773073,1133.3,377.5,X1133.3 Y377.5,0.474828731750052,2025-01-22_14-58-21
V,B,382,5.375705131746868,True,1,64.95122633643514,0.77595294,1133.3,383.3,X1133.3 Y383.3,0.5903390258958913,2025-01-22_14-58-30
V,B,381,5.519903436108836,True,1,65.81658979912167,0.7668922,1133.3,389.1,X1133.3 Y389.1,0.26438133455850765,2025-01-22_14-58-34
V,B,380,5.408855863494456,True,1,65.15118813516145,0.7452747,1133.3,394.9,X1133.3 Y394.9,0.28001145357561547,2025-01-22_14-58-37
V,B,379,5.381312669348293,True,1,64.98509366208036,0.74295604,1133.3,400.7,X1133.3 Y400.7,0.2058968093087241,2025-01-22_14-58-39
V,B,378,5.624241619408408,True,1,66.43571615125555,0.8252947,1133.3,406.5,X1133.3 Y406.5,0.523506371635556,2025-01-22_14-58-43
V,B,377,5.686927620187869,True,1,66.80492586535182,0.7434022,1133.3,412.2,X1133.3 Y412.2,0.44612204298635216,2025-01-22_14-58-45
V,B,376,5.536455899052672,True,1,65.91519760867627,0.7845279,1133.3,417.9,X1133.3 Y417.9,0.036347828718734515,2025-01-22_14-58-47
V,B,375,5.537133978455501,True,1,65.91923397871145,0.7175879,1133.3,423.7,X1133.3 Y423.7,0.3066935929514024,2025-01-22_14-58-52
V,B,374,5.581638680132288,True,1,66.18361664424748,0.7618956,1133.3,429.4,X1133.3 Y429.4,0.20912874111946464,2025-01-22_15-00-06
V,B,373,5.6363723478068835,True,1,66.50732398653713,0.727605,1133.3,435.2,X1133.3 Y435.2,0.39497025537313085,2025-01-22_15-00-08
V,B,372,5.604150468350951,True,1,66.31694776758773,0.73158866,1133.3,440.9,X1133.3 Y440.9,0.19294905268280574,2025-01-22_15-00-13
V,B,371,5.526051699435821,True,1,65.85323401873951,0.80641735,1133.3,446.6,X1133.3 Y446.6,0.1470477549991844,2025-01-22_15-00-20
V,B,370,5.481714031444937,True,1,65.58851888126492,0.8563075,1133.3,452.4,X1133.3 Y452.4,0.08002074087216395,2025-01-22_15-00-24
V,B,369,5.458306878668033,True,1,65.44833618776258,0.77401626,1133.3,458.2,X1133.3 Y458.2,0.2525455232573488,2025-01-22_15-00-26
V,B,368,5.498048280966361,True,1,65.68616555962176,0.805535,1133.3,464.0,X1133.3 Y464.0,0.2099064061395185,2025-01-22_15-00-28
V,B,367,5.468727004735402,True,1,65.51077814620375,0.8478021,1133.3,469.7,X1133.3 Y469.7,0.13672940329896419,2025-01-22_15-00-30
V,B,366,5.371766033191398,True,1,64.92742516414809,0.8287403,1133.3,475.5,X1133.3 Y475.5,0.4025694731455563,2025-01-22_15-00-33
V,B,365,5.364449641851099,True,1,64.88319424374158,0.8358793,1133.3,481.3,X1133.3 Y481.3,0.17312849286091053,2025-01-22_15-00-36
V,B,364,5.481151649120865,True,1,65.58515435243605,0.82043755,1133.3,487.0,X1133.3 Y487.0,0.3513940200685554,2025-01-22_15-00-38
V,B,363,5.527772569853637,True,1,65.86348691422783,0.7355411,1133.3,492.8,X1133.3 Y492.8,0.2978363145968266,2025-01-22_15-00-41
V,B,362,5.430612722635111,True,1,65.28209037005442,0.7967711,1133.3,498.5,X1133.3 Y498.5,0.15520486811394915,2025-01-22_15-00-42
V,B,361,5.552249008712554,True,1,66.00914440743179,0.7961327,1133.3,504.3,X1133.3 Y504.3,0.07588600447244108,2025-01-22_15-00-45
V,B,360,5.786508509461781,True,1,67.38728109082155,0.71950614,1133.3,510.1,X1133.3 Y510.1,0.2591227621921909,2025-01-22_15-00-47
V,B,359,5.4490939200309825,True,1,65.39307844220767,0.7461087,1133.3,515.9,X1133.3 Y515.9,0.26331432992555487,2025-01-22_15-00-52
V,B,358,5.428341640312323,True,1,65.26843845700726,0.75540966,1133.3,521.7,X1133.3 Y521.7,0.2710453210335496,2025-01-22_15-00-59
V,B,357,5.616222218426483,True,1,66.38833512329605,0.7466637,1133.3,527.5,X1133.3 Y527.5,0.3007676502757811,2025-01-22_15-01-02
V,B,356,5.585774735836931,True,1,66.20813349751525,0.8252049,1133.3,533.3,X1133.3 Y533.3,0.18210595004954333,2025-01-22_15-01-06
