layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,t_sigma,wires,ttf,time
V,A,898,6.373737735155752,True,5,65.36877660061535,0.80729604,6923.7,1137.4,X6923.7 Y1137.4,0.06140950673147059,"[6.2304425641860375, 6.371704632152191, 6.396662064636329, 6.388137329308994, 6.321702676074646]",6.254717111587524,2025-01-23_11-01-22
V,A,899,6.4652049103667215,True,5,65.83614748893676,0.7584837,6923.7,1143.2,X6923.7 Y1143.2,0.1005627258548455,"[6.46676445712708, 6.586206911889305, 6.458801810300854, 6.655098302332367, 6.371288908615446]",7.800822019577026,2025-01-23_11-01-30
V,A,900,7.0255152255240105,True,5,68.62973976219402,0.76148933,6923.7,1149.0,X6923.7 Y1149.0,0.11653569755140165,"[7.0242009298370425, 7.017815816844331, 6.858088430041172, 7.1194667186007115, 6.8027657554930006]",9.782423496246338,2025-01-23_11-01-40
V,A,901,6.141903835050587,True,5,64.16892571401111,0.5372972,6923.7,1154.8,X6923.7 Y1154.8,0.14484084794509156,"[6.138526743762252, 6.164042006895062, 6.413858203227681, 6.082393562490298, 6.424026773810089]",6.120098114013672,2025-01-23_11-01-46
V,A,902,5.744787470928742,True,5,62.05978200293546,0.7667235,6923.7,1160.6,X6923.7 Y1160.6,0.02232883050230463,"[5.76365533531698, 5.731804793250148, 5.741185548634895, 5.795210198381287, 5.746377757345785]",9.47242021560669,2025-01-23_11-01-55
V,A,903,7.233455807689071,True,5,69.63798219862818,0.6187867,6923.7,1166.4,X6923.7 Y1166.4,2.635710214161991,"[8.338985352373996, 2.0802394332789054, 7.768510892035356, 6.520994681834606, 2.532670494101094]",21.014672994613647,2025-01-23_11-02-16
V,A,904,6.480006288573811,True,5,65.9114667275831,0.76149255,6923.7,1171.6,X6923.7 Y1171.6,0.01847736757657319,"[6.472644908641161, 6.4770394431676, 6.5122273416030385, 6.5175513626815285, 6.484899529083847]",86.7621681690216,2025-01-23_11-04-28
V,A,905,6.4366621791407805,True,5,65.69065928702788,0.8533542,6923.7,1177.4,X6923.7 Y1177.4,0.016910740571700486,"[6.447891050426463, 6.4420927208225525, 6.400224025106583, 6.432665541395981, 6.421238594407577]",5.0647571086883545,2025-01-23_11-04-33
V,A,906,6.219729067986791,True,5,64.57419428435615,0.8210116,6923.7,1183.2,X6923.7 Y1183.2,0.09365830104645373,"[6.099399948074587, 6.240578809399362, 6.1962143633161, 6.291109186016889, 6.033752197313259]",7.050341844558716,2025-01-23_11-04-40
V,A,907,6.348081549588224,True,5,65.23707957622162,0.76633865,6923.7,1189.0,X6923.7 Y1189.0,0.05004714413124202,"[6.450100618294206, 6.312751611309231, 6.365954327002573, 6.324636887425659, 6.397497156454507]",3.942930221557617,2025-01-23_11-04-44
