layer,side,wire_number,tension
U,A,226,7.606432054447396
U,A,227,7.6770814408763695
U,A,228,7.975361768609866
U,A,229,5.898379042263343
U,A,230,2.135990115831532
U,A,231,5.916331475242283
U,A,232,2.1534214785387564
U,A,233,2.171026566528931
U,A,234,2.1968911378279805
U,A,235,6.035614361036275
U,A,236,2.2688436075484266
U,A,237,2.374133766192664
U,A,238,2.405376151727684
U,A,239,2.550673403789274
U,A,240,5.964058987042742
U,A,241,2.5341867968416243
U,A,242,2.70951916835286
U,A,243,2.799397645645607
U,A,244,2.781485909233853
U,A,245,2.8125427368542897
U,A,246,2.8567790156965964
U,A,247,2.887758131850856
U,A,248,2.9475809494714964
U,A,249,3.010642082319142
U,A,250,3.0555647701767104
U,A,251,3.1033296357382
U,A,252,3.1820824187182666
U,A,253,3.4982892916951505
U,A,254,3.2686266541658453
U,A,255,3.3698108772745856
U,A,256,5.510577471659524
U,A,257,3.461923999647764
U,A,258,3.495894322126893
U,A,259,5.463488903837687
U,A,260,3.788307550726034
U,A,261,3.845763408267964
U,A,262,3.905752246937537
U,A,263,4.034060271547819
U,A,264,4.174073739495669
U,A,265,4.337484424051999
U,A,266,4.2841385027038745
U,A,267,5.733697921875014
U,A,268,4.569999679630905
U,A,269,5.815653171408889
U,A,270,4.7710769659964685
U,A,271,6.1521522961199
U,A,272,5.251800541927955
U,A,273,5.034604356859689
U,A,274,5.401060300292798
U,A,275,5.357520451657778
U,A,276,5.823570419293225
U,A,277,5.81484179798398
U,A,278,6.094266322179383
U,A,279,5.867020776708312
U,A,280,6.129585543952957
U,A,281,6.127475203818228
U,A,282,5.895227417791878
U,A,283,6.727753589539032
U,A,284,7.179743604289177
U,A,285,5.965703448177112
U,A,286,7.439493348111082
U,A,287,6.199002715653089
U,A,288,8.471589912080038
U,A,289,8.327608284867413
U,A,290,8.467504621646274
U,A,291,6.018715805433279
U,A,292,6.023374962433877
U,A,293,6.048053890172763
U,A,294,6.003579061174408
U,A,295,5.915067532537274
U,A,296,5.641215669809094
U,A,297,6.020043068651434
U,A,298,5.838648124871934
U,A,299,5.99730111284975
U,A,300,5.784525604306622
U,A,301,5.737290314121736
U,A,302,5.887496999951988
U,A,303,5.879152676636308
U,A,304,5.947522794678128
U,A,305,5.947469276903632
U,A,306,5.557417328118184
U,A,307,5.865253126518386
U,A,308,5.726494218672198
U,A,309,5.765133611525299
U,A,310,5.938925368595312
U,A,311,5.766807121305277
U,A,312,5.720593281934367
U,A,313,5.663295502856008
U,A,314,5.834609007885829
U,A,315,5.97237840850828
U,A,316,5.706273970370032
U,A,317,5.528073489800391
U,A,318,5.742128403460376
U,A,319,5.407453852329261
U,A,320,5.632364673638499
U,A,321,5.75972436351937
U,A,322,5.734811181823334
U,A,323,5.605575513923584
U,A,324,5.500290242949175
U,A,325,5.518538516899538
U,A,326,5.55937407431867
U,A,327,5.549172105307117
U,A,328,5.519222775313501
U,A,329,5.59632904529046
U,A,330,5.721041287175538
U,A,331,5.437128303160458
U,A,332,5.526823387410073
U,A,333,5.432295419398402
U,A,334,5.456771871087191
U,A,335,5.558389182407247
U,A,336,5.238511096393536
U,A,337,5.275694323916144
U,A,338,5.454835759270857
U,A,339,5.482108414404382
U,A,340,5.184064713854803
U,A,341,5.562225114083779
U,A,342,5.460139863575705
U,A,343,5.34441892918823
U,A,344,5.543649746607478
U,A,345,5.454303743077777
U,A,346,6.892655650855504
U,A,347,5.484950122990809
U,A,348,5.354129762867376
U,A,349,5.48382500122483
U,A,350,5.49548744431238
U,A,351,5.561660793686568
U,A,352,5.036971086643045
U,A,353,5.45864595661014
U,A,354,5.458735330743663
U,A,355,5.642538287989795
U,A,356,5.468342194236644
U,A,357,5.503464102529917
U,A,358,5.092043771794183
U,A,359,5.395975587037981
U,A,360,5.632507327909822
U,A,361,5.445590213172134
U,A,362,5.500968516746379
U,A,363,5.264423118311908
U,A,364,5.430571046946247
U,A,365,5.359594581258454
U,A,366,5.767311956028253
U,A,367,5.295287309114432
U,A,368,5.668372403980031
U,A,369,5.478840618779788
U,A,370,5.639250514000635
U,A,371,5.44761547413497
U,A,372,5.295251903474785
U,A,373,5.560068381660369
U,A,374,5.590250939644873
U,A,375,5.387656325120316
U,A,376,5.469573809010641
U,A,377,5.562288952767526
U,A,378,5.500245061830495
U,A,379,5.312180134580903
U,A,380,5.253449982686214
U,A,381,5.217213116973141
U,A,382,5.377901658839775
U,A,383,5.430187420909076
U,A,384,5.332618903795416
U,A,385,5.287882713933764
U,A,386,5.328131791662891
U,A,387,5.329623861931858
U,A,388,5.53691397643925
U,A,389,5.421671109342024
U,A,390,5.43342934858087
U,A,391,5.30766357459465
U,A,392,5.460231905317414
U,A,393,5.297447424653697
U,A,394,5.36298562192177
U,A,395,5.747343350466331
U,A,396,5.406801933050559
U,A,397,5.704925213935322
U,A,398,5.593026825154583
U,A,399,6.047015089183593
U,A,400,5.46374570706204
U,A,401,5.42169576831145
U,A,402,5.6735302036409845
U,A,403,5.357885006545711
U,A,404,5.512889431035931
U,A,405,5.340724471484908
U,A,406,5.341076079453146
U,A,407,5.638334930897022
U,A,408,5.564751813443928
U,A,409,5.2936430124365375
U,A,410,5.702737926986763
U,A,411,5.510694947431393
U,A,412,5.239401829555118
U,A,413,5.382140789131656
U,A,414,5.289546143255322
U,A,415,5.491628465218999
U,A,416,5.69400548472782
U,A,417,5.673097386861876
U,A,418,5.588610395282657
U,A,419,5.49088750886226
U,A,420,5.327600255924583
U,A,421,5.300162596265627
U,A,422,5.373724013645172
U,A,423,5.706561344157222
U,A,424,5.497037255178797
U,A,425,5.529190255338296
U,A,426,5.3601802991324
U,A,427,5.405754808068114
U,A,428,5.556921478746974
U,A,429,5.625395105947227
U,A,430,5.676405459996076
U,A,431,5.457576636100423
U,A,432,5.380753714064782
U,A,433,5.404496796675784
U,A,434,5.314981797291563
U,A,435,5.329317636420713
U,A,436,5.1879307479297
U,A,437,5.26130080862126
U,A,438,5.529121680168871
U,A,439,5.918759789727499
U,A,440,5.679853958181108
U,A,441,5.556905668132558
U,A,442,6.0334131421086745
U,A,443,5.765595625545219
U,A,444,5.7411823783827725
U,A,445,5.62506280643616
U,A,446,5.519547930923942
U,A,447,5.614156019889424
U,A,448,5.482894342439917
U,A,449,5.684204836198106
U,A,450,5.581600277886737
U,A,451,5.746660012644001
U,A,452,5.636837897274117
U,A,453,5.474713690787048
U,A,454,5.442484795687398
U,A,455,5.418049056466041
U,A,456,5.661628145298681
U,A,457,5.417336720623808
U,A,458,5.267875379282643
U,A,459,5.678767804114572
U,A,460,5.600575236401084
U,A,461,5.4314960362415405
U,A,462,5.520271637447657
U,A,463,5.44909531645276
U,A,464,5.394851939227843
U,A,465,5.746563525426796
U,A,466,5.447220490633674
U,A,467,5.466564875357522
U,A,468,5.466875655339147
U,A,469,5.4595082969950575
U,A,470,5.518956168886429
U,A,471,5.466470186499087
U,A,472,5.350243961152181
U,A,473,5.542948305366823
U,A,474,5.664015918311031
U,A,475,5.533428775104971
U,A,476,5.684164756024307
U,A,477,5.476122619742382
U,A,478,5.679298737273614
U,A,479,5.391750601882474
U,A,480,5.438719971440203
U,A,481,5.495047950979402
U,A,482,5.570513778322755
U,A,483,5.463338397122279
U,A,484,5.619965012778876
U,A,485,5.448890747171529
U,A,486,5.52041186475918
