wire_number,json_A,json_B,summary_A,summary_B,diff_A,diff_B
511,6.75,5.98,5.290072416953136,5.063047665817296,-1.4599275830468637,-0.9169523341827048
512,6.61,6.0,4.787298457750924,5.459457015026551,-1.8227015422490762,-0.5405429849734489
513,6.67,6.03,5.229151749612695,5.343550924410315,-1.4408482503873046,-0.6864490755896853
514,6.75,5.96,5.499361634336081,5.266400943711803,-1.250638365663919,-0.6935990562881971
515,6.56,5.98,5.366288239971326,5.6344358556700245,-1.1937117600286733,-0.34556414432997595
516,6.95,6.03,4.156163708325678,4.882791270854885,-2.793836291674322,-1.147208729145115
517,6.65,6.09,5.756252275268911,5.397573609435119,-0.8937477247310897,-0.6924263905648811
518,6.78,5.95,5.0330429845396605,5.032640930948988,-1.7469570154603398,-0.9173590690510123
519,6.73,5.74,5.586068847513792,4.7274843667058,-1.1439311524862088,-1.0125156332941998
520,6.65,5.98,4.7832149638759,5.377431022193155,-1.8667850361241003,-0.602568977806845
521,6.52,6.0,4.666495801866216,4.853304449040193,-1.8535041981337832,-1.146695550959807
522,6.71,6.02,5.224324694485345,5.455587675695935,-1.485675305514655,-0.5644123243040644
523,6.65,6.0,6.146074218567455,5.205607674486284,-0.5039257814325451,-0.7943923255137157
524,6.61,5.93,5.302808101098801,5.059183585825086,-1.3071918989011992,-0.8708164141749135
525,6.61,5.63,5.140138167887236,5.058610932940677,-1.4698618321127643,-0.5713890670593225
526,6.71,6.03,5.741588014781714,5.022345410499775,-0.9684119852182862,-1.0076545895002251
527,6.9,6.16,5.786906951673771,5.030457484308974,-1.1130930483262294,-1.1295425156910257
528,6.69,6.02,4.990021176515225,5.449364002606359,-1.6999788234847752,-0.5706359973936408
529,6.65,6.09,5.309571730272829,5.770366081190813,-1.3404282697271714,-0.31963391880918657
530,6.5,5.89,4.318691660805308,4.986996573135721,-2.1813083391946924,-0.903003426864279
531,6.65,6.49,4.647347374609868,5.522043553648725,-2.002652625390132,-0.9679564463512751
532,6.65,6.54,5.919564786486737,4.70123137946629,-0.730435213513263,-1.8387686205337097
