wire_number,A_baseline_json_value,B_reversed_json_value,A_baseline_mapped_wire,B_reversed_mapped_wire,A_baseline_residual,B_reversed_residual,A_baseline_summary_value,B_reversed_summary_value
174,5.86,5.91,174,308,-0.6141672489644625,-0.796745758419096,5.245832751035538,5.113254241580904
175,5.74,5.68,175,307,-0.10282146133675507,0.024071541567768584,5.637178538663245,5.704071541567768
176,5.76,6.06,176,306,0.6558498125447549,-0.8517244189598623,6.415849812544755,5.208275581040137
177,5.91,5.73,177,305,-0.20719544869381057,1.2745057214012796,5.70280455130619,7.00450572140128
178,6.06,5.68,178,304,-0.3818620328817719,-0.1959616837239313,5.678137967118228,5.484038316276068
179,5.79,6.16,179,303,0.42494201695267275,-0.4538626138674786,6.214942016952673,5.7061373861325215
180,5.85,5.77,180,302,0.5237732753459783,-0.6842433488437871,6.373773275345978,5.0857566511562124
181,5.89,5.82,181,301,-0.20543262773034598,-0.3359628235238805,5.684567372269654,5.48403717647612
182,6.06,5.97,182,300,-0.20017134235521894,-0.5295552601333675,5.859828657644781,5.440444739866632
183,6.24,5.71,183,299,-0.2770837479493613,-0.16463636327100417,5.962916252050639,5.545363636728996
184,6.21,5.4,184,298,-0.910005249466229,0.359300799835367,5.299994750533771,5.759300799835367
185,5.74,5.79,185,297,-0.04328549824294825,-1.3478153022325454,5.696714501757052,4.442184697767455
186,5.97,5.82,186,296,0.18579884600092278,-0.549021397796059,6.1557988460009225,5.270978602203941
187,6.22,5.86,187,295,-0.059087143093362826,-0.15498567987645728,6.160912856906637,5.705014320123543
188,5.74,6.11,188,294,0.5173647788311602,-0.21114569741395073,6.25736477883116,5.89885430258605
189,6.1,6.16,189,293,-0.16948630031352963,-0.5575538103207771,5.93051369968647,5.602446189679223
190,6.17,5.83,190,292,-0.013584058456962644,-0.266023256293173,6.156415941543037,5.563976743706827
191,6.24,6.0,191,291,-0.4402452444898408,-0.22621907654310824,5.799754755510159,5.773780923456892
192,5.96,5.83,192,290,0.10903445679564872,0.3296395909757255,6.069034456795649,6.1596395909757256
193,5.96,6.08,193,289,-0.12409977294289298,-0.8367888625733029,5.835900227057107,5.243211137426697
194,6.03,5.74,194,288,-0.3819720513411511,0.18313045790648452,5.648027948658849,5.923130457906485
195,5.73,5.97,195,287,-0.1158729627522268,0.12704659676134966,5.614127037247774,6.097046596761349
196,5.83,5.8,196,286,-0.5801310021009618,-0.33391363576005784,5.249868997899038,5.466086364239942
197,6.14,5.74,197,285,0.4154529890049199,-0.14512590786932655,6.55545298900492,5.594874092130674
198,6.17,5.86,198,284,-0.6881943246566768,0.9071773715684657,5.481805675343323,6.767177371568466
199,5.88,5.71,199,283,-0.8625539549484857,0.46665712699079176,5.017446045051514,6.176657126990792
200,5.92,5.64,200,282,-0.8051464704206097,0.9539014246659105,5.11485352957939,6.59390142466591
201,5.86,5.79,201,281,-0.391865164626366,0.3499099412358522,5.468134835373634,6.139909941235852
