side,wire_number,x,y,time
B,267,3029.0,275.8,2024-11-21_10-12-43
B,268,3037.0,275.8,2024-11-21_10-12-47
B,269,3045.0,275.8,2024-11-21_10-12-57
B,270,3053.0,275.8,2024-11-21_10-13-00
B,271,3061.0,275.8,2024-11-21_10-13-01
B,272,3069.0,275.8,2024-11-21_10-13-05
B,273,3077.0,275.8,2024-11-21_10-13-07
B,274,3085.0,275.8,2024-11-21_10-13-09
B,275,3093.0,275.8,2024-11-21_10-13-10
B,276,3101.0,275.8,2024-11-21_10-13-14
B,277,3109.0,275.8,2024-11-21_10-13-15
B,278,3117.0,275.8,2024-11-21_10-13-19
B,279,3125.0,275.8,2024-11-21_10-13-20
B,280,3133.0,275.8,2024-11-21_10-13-23
B,281,3141.0,275.8,2024-11-21_10-13-25
B,282,3149.0,275.8,2024-11-21_10-13-33
B,283,3157.0,275.8,2024-11-21_10-13-38
B,284,3165.0,275.8,2024-11-21_10-13-40
B,285,3173.0,275.8,2024-11-21_10-13-43
B,286,3181.0,275.8,2024-11-21_10-13-48
B,287,3189.0,275.8,2024-11-21_10-13-50
B,288,3197.0,275.8,2024-11-21_10-13-52
B,289,3205.0,275.8,2024-11-21_10-13-53
B,290,3213.0,275.8,2024-11-21_10-13-55
B,291,3221.0,275.8,2024-11-21_10-13-57
B,292,3229.0,275.8,2024-11-21_10-14-00
B,293,3237.0,275.8,2024-11-21_10-14-02
B,294,3245.0,275.8,2024-11-21_10-14-05
B,295,3253.0,275.8,2024-11-21_10-14-07
B,296,3261.0,275.8,2024-11-21_10-14-08
B,297,3269.0,275.8,2024-11-21_10-14-19
B,298,3277.0,275.8,2024-11-21_10-14-20
B,299,3285.0,275.8,2024-11-21_10-14-31
B,301,3301.0,275.8,2024-11-21_10-15-16
B,303,3317.0,275.8,2024-11-21_10-15-55
B,304,3317.0,281.5,2024-11-21_10-16-07
B,305,3317.0,287.2,2024-11-21_10-16-12
B,306,3317.0,293.0,2024-11-21_10-16-17
B,307,3317.0,296.5,2024-11-21_10-17-11
B,308,3317.0,302.3,2024-11-21_10-17-13
B,309,3317.0,308.0,2024-11-21_10-17-16
B,310,3317.0,313.8,2024-11-21_10-17-17
B,311,3317.0,319.5,2024-11-21_10-17-18
B,312,3317.0,325.3,2024-11-21_10-17-19
B,313,3317.0,331.0,2024-11-21_10-17-21
B,314,3317.0,336.8,2024-11-21_10-17-22
B,315,3317.0,342.5,2024-11-21_10-17-26
B,316,3317.0,348.3,2024-11-21_10-17-28
B,317,3317.0,354.0,2024-11-21_10-17-29
B,318,3317.0,359.8,2024-11-21_10-17-31
B,319,3317.0,365.5,2024-11-21_10-17-32
B,320,3317.0,371.3,2024-11-21_10-17-34
B,321,3317.0,377.0,2024-11-21_10-17-36
B,322,3317.0,382.8,2024-11-21_10-17-37
B,323,3317.0,388.5,2024-11-21_10-17-38
B,324,3317.0,394.3,2024-11-21_10-17-40
B,325,3317.0,400.0,2024-11-21_10-17-41
B,326,3317.0,405.8,2024-11-21_10-17-42
B,327,3317.0,411.5,2024-11-21_10-17-46
B,328,3317.0,417.3,2024-11-21_10-17-47
B,329,3521.9,275.8,2024-11-21_10-17-51
B,330,3529.9,275.8,2024-11-21_10-17-52
B,331,3537.9,275.8,2024-11-21_10-17-54
B,332,3545.9,275.8,2024-11-21_10-17-55
B,333,3553.9,275.8,2024-11-21_10-18-03
B,334,3561.9,275.8,2024-11-21_10-18-09
B,335,3569.9,275.8,2024-11-21_10-18-10
B,336,3577.9,275.8,2024-11-21_10-18-11
B,337,3585.9,275.8,2024-11-21_10-18-15
B,338,3593.9,275.8,2024-11-21_10-18-16
B,339,3601.9,275.8,2024-11-21_10-18-17
B,340,3609.9,275.8,2024-11-21_10-18-19
B,341,3617.9,275.8,2024-11-21_10-18-20
B,342,3625.9,275.8,2024-11-21_10-18-22
B,343,3633.9,275.8,2024-11-21_10-18-23
B,344,3641.9,275.8,2024-11-21_10-18-24
B,345,3649.9,275.8,2024-11-21_10-18-25
B,346,3657.9,275.8,2024-11-21_10-18-26
B,347,3665.9,275.8,2024-11-21_10-18-28
B,348,3673.9,275.8,2024-11-21_10-18-29
B,349,3681.9,275.8,2024-11-21_10-18-30
B,350,3689.9,275.8,2024-11-21_10-18-33
B,351,3697.9,275.8,2024-11-21_10-18-34
B,352,3705.9,275.8,2024-11-21_10-18-35
B,353,3713.9,275.8,2024-11-21_10-18-36
B,354,3721.9,275.8,2024-11-21_10-18-37
B,355,3729.9,275.8,2024-11-21_10-18-39
B,356,3737.9,275.8,2024-11-21_10-18-40
B,357,3745.9,275.8,2024-11-21_10-18-40
B,358,3753.9,275.8,2024-11-21_10-18-42
B,359,3761.9,275.8,2024-11-21_10-18-44
B,360,3769.9,275.8,2024-11-21_10-18-47
B,361,3777.9,275.8,2024-11-21_10-18-48
B,362,3785.9,275.8,2024-11-21_10-18-51
B,363,3793.9,275.8,2024-11-21_10-18-52
B,364,3801.9,275.8,2024-11-21_10-18-53
B,365,3809.9,275.8,2024-11-21_10-18-54
B,366,3817.9,275.8,2024-11-21_10-18-56
B,367,3825.9,275.8,2024-11-21_10-18-57
B,368,3833.9,275.8,2024-11-21_10-18-58
B,369,3841.9,275.8,2024-11-21_10-18-59
B,370,3849.9,275.8,2024-11-21_10-19-00
B,371,3857.9,275.8,2024-11-21_10-19-01
B,372,3865.9,275.8,2024-11-21_10-19-03
B,373,3873.9,275.8,2024-11-21_10-19-07
B,374,3881.9,275.8,2024-11-21_10-19-08
B,375,3889.9,275.8,2024-11-21_10-19-10
B,376,3897.9,275.8,2024-11-21_10-19-22
B,377,3905.9,275.8,2024-11-21_10-19-23
B,378,3913.9,275.8,2024-11-21_10-19-24
B,379,3921.9,275.8,2024-11-21_10-19-25
B,380,3929.9,275.8,2024-11-21_10-19-27
B,381,3937.9,275.8,2024-11-21_10-19-29
B,382,3945.9,275.8,2024-11-21_10-19-30
B,383,3953.9,275.8,2024-11-21_10-19-31
B,384,3961.9,275.8,2024-11-21_10-19-32
B,385,3969.9,275.8,2024-11-21_10-19-34
B,386,3977.9,275.8,2024-11-21_10-19-36
B,387,3985.9,275.8,2024-11-21_10-19-38
B,388,3993.9,275.8,2024-11-21_10-19-38
B,389,4001.9,275.8,2024-11-21_10-19-39
B,390,4009.9,275.8,2024-11-21_10-19-40
B,391,4017.9,275.8,2024-11-21_10-19-41
B,392,4025.9,275.8,2024-11-21_10-19-41
B,393,4033.9,275.8,2024-11-21_10-19-43
B,394,4041.9,275.8,2024-11-21_10-19-44
B,395,4049.9,275.8,2024-11-21_10-19-45
B,396,4057.9,275.8,2024-11-21_10-19-46
B,397,4065.9,275.8,2024-11-21_10-19-47
