a1,a2,a3,a4
5.9,5.91,6.02,5.97141308
5.4,5.77,5.82,5.6524997
5.67,5.53,6.1,5.969057591
5.95,5.62,6.05,5.766902609
5.5,5.53,5.99,5.619662198
5.51,5.04,5.99,5.557089978
5.96,5.77,5.88,6.018678801
5.82,5.66,5.86,5.904709708
5.6,6.04,6.22,5.917512604
5.4,5.7,5.67,5.498789176
5.85,5.8,6.07,6.104466259
5.98,5.37,6.16,6.123312792
5.48,5.67,5.75,5.370354278
5.6,5.89,5.96,5.98317107
5.33,5.75,5.89,5.906431113
5.47,5.65,5.56,5.718395266
5.38,6.08,6.05,6.430920631
5.8,5.86,6.02,5.735592724
5.89,6.01,6.39,5.520150585
5.56,5.78,5.97,5.719086386
5.44,5.39,5.32,5.553111131
5.5,5.64,6.13,5.568902848
5.8,6.07,6.47,5.987306508
5.61,5.74,5.88,5.936245583
5.63,5.95,5.99,6.018804148
5.31,5.3,5.65,5.648060024
5.49,5.85,6.01,5.629698062
5.89,5.87,5.98,6.041642524
5.37,4.86,5.52,5.387603951
5.42,5.58,5.77,5.307815462
5.68,5.4,5.83,5.436904806
5.49,5.84,6.01,5.630860543
5.66,5.84,5.76,5.975419801
5.88,5.97,6.05,5.880293667
5.72,5.89,6.06,6.046320616
5.84,6.01,6.13,6.152715038
5.86,5.94,6,5.856897552
5.41,5.91,6.16,5.603957226
5.95,5.96,5.94,5.797821653
5.39,5.69,5.88,5.712180359
5.78,5.89,5.99,5.897379918
5.74,5.99,5.94,6.167165498
5.91,6.12,6.49,6.800632716
5.83,5.7,6,5.848532596
6.04,5.9,5.99,5.981334825
5.79,6.11,6.14,6.080747911
5.5,5.67,5.9,5.651235417
5.51,5.88,5.94,6.239003046
6.01,5.98,6.03,5.801404515
5.55,5.96,6.04,6.655534291
5.47,5.2,5.54,5.611462973
5.52,5.92,6,5.826444554
5.7,5.49,5.94,6.479284369
5.96,6.19,6.18,6.598171598
5.65,5.87,6.01,6.145961347
5.87,5.94,5.76,5.710045021
5.31,6.04,6.07,5.858570907
5.2,5.51,5.36,5.470734868
5.18,5.69,5.6,5.611617862
5.27,5.85,5.94,5.752586415
6.56,6.31,6.7,5.794617208
5.85,6.69,6.56,6.09565271
5.95,6.08,6.21,6.0655829
5.8,6.36,6.32,5.630144724
6.18,5.5,5.69,5.294828914
5.75,5.94,6.03,6.007875632
5.98,6.38,5.89,5.637130465
5.87,6.03,6.43,5.918612864
5.82,,6.04,6.205268794
5.86,5.34,6.62,6.637528051
5.29,4.82,6.05,5.811014397
5.75,5.32,6.03,5.711201009
5.45,5.33,6.07,5.995234937
5.87,5.64,6.02,5.468072835
5.52,6.05,5.76,6.50476869
5.86,5.38,5.94,5.719588878
5.6,5.24,5.92,5.23032152
5.45,5.44,6.05,5.177828228
5.26,5.31,5.5,5.415966194
5.98,6.18,6.15,5.94860744
5.99,6.02,6.6,5.742901641
5.73,5.72,5.67,5.821639929
5.65,5.7,5.76,5.376570454
5.95,6,6.06,5.787286169
5.85,5.96,5.86,5.63917067
6.08,6.35,6.09,5.96840849
5.44,5.93,5.98,5.663696673
5.8,5.87,5.75,5.690119883
5.85,5.9,5.98,5.743336871
6.47,,5.98,5.477234502
6.5,6.54,6.53,5.602647877
6.19,6.44,6.2,6.207656133
5.72,5.82,5.82,5.96858142
6.09,6.08,,
6.2,6.31,5.91,5.84368621
6.21,6.1,5.82,5.901713769
6.19,6.07,6,6.046882529
5.8,6.21,0,6.09005932
6.28,6.31,6.21,6.405855704
5.8,6.28,5.73,
5.56,5.56,5.75,6.027734693
5.52,5.43,5.59,5.889503506
5.66,6.02,6.07,5.988278954
5.63,5.73,6.01,5.385186655
5.95,5.45,5.84,5.297044334
